DTCR I5_OHLC_NE_USD Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE_USD FTSE100_OHLC_NE_USD BVSP_OHLC_NE_USD BSESN_OHLC_NE_USD Nickel_OHLC_NE Nickel_OHLC_NE_USD VIX_OHLC_NE
17.01.2005 1437.54528863264 423.435 45.112 10529.465 147.108755911238 9007.1291156 8943.3905689017 141.640089132788 14497 110.956248477467 13.155
24.01.2005 1473.62298739054 425.695 46.0045 10445.163 149.891320501219 9084.11751205 8937.26296259965 141.728748762383 14369 109.570507944045 13.741
31.01.2005 1542.51774444682 420.28 44.2205 10562.3985 147.860037829246 9220.137498 9273.77381401328 150.965637358595 14603 109.6016714567 12.185
07.02.2005 1540.97881020394 416.225 43.4865 10722.3965 153.323921250224 9292.7302278 9769.47219653015 150.923825795799 14998 108.889677437706 11.635
14.02.2005 1549.5485698058 426.77 45.1815 10799.8225 153.688155686554 9541.803297625 10104.5971964086 151.774237447852 15426 110.490610060921 11.4605
21.02.2005 1597.20731534576 433.33 47.909 10722.5015 157.080297438642 9563.6382174 10453.1775725764 150.584346969966 15994 110.2851887632 12.083
28.02.2005 1675.87403223684 434.2 51.0485 10830.4335 156.813218479338 9583.858339 10759.7228536146 153.854062353197 16112 112.535613732021 12.291
07.03.2005 1682.22378413847 440.615 52.71 10875.1595 157.196286411257 9617.79382465 11012.8033627764 158.09809398714 16267 114.060507114541 12.4355
14.03.2005 1614.62724053213 441.83 54.4425 10701.1275 152.599971244335 9520.49755545 10671.1295490364 154.988003836016 16175 113.337789153888 13.122
21.03.2005 1573.72166434402 429.105 53.801 10505.23 146.381331936624 9272.8881576 10219.4171299296 149.732814199828 16378 111.58720806518 13.785
28.03.2005 1577.51857112053 426.515 52.3075 10478.2245 143.971580220452 9218.7687765 9954.8808970028 147.803928073025 16073 108.725314024078 13.9185
04.04.2005 1638.94851893056 426.43 53.8125 10471.7095 146.663742721854 9280.5547314 9671.27285124708 150.459580992483 16207 108.73013221348 13.291
11.04.2005 1627.26667002157 428.765 50.671 10381.57 149.317596654677 9345.02070425 9513.83404744788 146.922371659131 15924 107.707530169319 13.306
18.04.2005 1579.51417387085 432.995 50.985 10114.288 143.530398241796 9244.3963139 9300.48095760168 142.568658628658 16070 103.24826561646 15.8005
25.04.2005 1578.41847038528 435.455 51.7615 10167.5895 140.056472021037 9206.0677269 9248.54792984474 144.321777726869 16367 104.128521651151 15.189
02.05.2005 1560.35242941285 430.065 49.7655 10304.416 140.051555017492 9238.27238755 9968.2136139864 144.341955146636 16451 105.05853535209 14.4905
09.05.2005 1543.52521202111 425.635 49.1225 10274.1675 135.843816754787 9174.69013675 9803.89845571075 148.676772802233 17407 104.88811898001 14.977
16.05.2005 1513.81607186245 420.205 47.0465 10365.8665 132.735140477455 9047.3929728 9666.97494300885 149.186474041671 16869 102.249986024671 14.443
23.05.2005 1559.38518271561 418.1 48.242 10504.312 129.207116906277 9105.1841097 9652.0278242607 151.883303617645 16961 102.977421809039 12.6235
30.05.2005 1560.63117326853 418.83 50.764 10520.8655 125.711719428124 9072.8755761 10486.4935063649 153.599954158668 17022 104.196735093587 12.4185
06.06.2005 1575.5051523612 426.165 51.7915 10489.9085 130.007642050003 9129.753102 10390.8065275791 156.282134650735 16696 104.74950260231 12.3315
13.06.2005 1603.10561803273 432.585 53.831 10560.2385 131.729144528624 9158.431117875 10522.5882985873 157.609292720702 16656 104.37507900884 11.4695
20.06.2005 1642.32764997967 440.645 56.931 10536.248 132.88464024609 9276.01725585 10583.5674058793 162.422570144164 15767 105.73161894703 11.618
