DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
12.07.2004 39339.17168 405.395 37.6885 10208.5475 1411.54 4358.675 21748.6 4909.4315 15217 11477.5845 14.591
19.07.2004 39561.0656 399.635 39.226 10076.7985 1436.5135 4337.04 22024 5008.078 14878 11305.8975 15.5465
26.07.2004 37836.87684 389.125 40.7195 10066.738 1391.448 4351.845 21888.6 5104.713 14240 11157.198 16.434
02.08.2004 38058.8634 393.265 42.4285 10067.9145 1384.9345 4406.585 22051.2 5202.758 13787 11086.257 16.801
09.08.2004 37939.03048 398.83 43.6685 9861.91 1383.821 4324.515 21534.3 5186.6025 13529 10931.8725 18.591
16.08.2004 38333.14088 405.8 44.9145 10000.9985 1352.881 4351.1 22391.45 5092.321 14081 10783.068 17.061
23.08.2004 38565.94036 407.68 42.508 10138.678 1333.9175 4423.035 22856.85 5087.59 13494 11062.586 15.3765
30.08.2004 40050.46496 407.255 40.836 10194.0145 1327.8235 4494.005 22661.9 5193.642 12768 11132.3775 14.953
06.09.2004 40967.9298 400.66 40.903 10301.6415 1307.007 4555.115 22408.65 5283.815 12291 11208.559 14.0965
13.09.2004 41907.14416 404.655 41.7785 10283.937 1330.145 4556.91 22393.85 5442.0815 12800 11190.2205 13.959
20.09.2004 42891.93176 407.76 44.998 10149.0775 1446.0065 4586.755 23010.65 5569.4435 13918 11044.793 14.676
27.09.2004 43478.95576 413.3 47.024 10077.258 1420.5975 4578.335 23168.15 5538.9035 14930 10854.1245 13.806
04.10.2004 45852.98464 418.41 47.736 10176.3725 1398.1465 4696.125 24063.5 5755.486 16101 11296.6725 13.8775
11.10.2004 45549.63972 419.25 50.6665 10011.115 1377.763 4651.8 23563.7 5715.8865 14625 11175.4475 15.233
18.10.2004 44913.89288 422.56 50.526 9887.641 1328.447 4628.335 23048.05 5686.28 13431 10930.2405 15.149
25.10.2004 45203.4328 427.41 50.345 9902.4225 1326.7845 4608.315 22871.2 5658.7185 13246 10731.5495 16.0945
01.11.2004 45412.09576 427.635 45.937 10165.841 1310.706 4700.065 23458.15 5788.7755 13805 10883.096 14.8505
08.11.2004 45895.25284 435.14 42.784 10420.1475 1329.6705 4742.91 23415.65 5950.41 14009 10976.167 13.348
15.11.2004 46023.56336 441.685 40.843 10533.7655 1365.7795 4791.11 23976.55 5996.1385 14271 11150.262 13.307
